Season,Team,G,Date,Home,Opp,W/L,Tm_Pts,Opp_Pts,Tm_FG,Tm_FGA,Tm_FG%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Tm_ORB,Tm_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_FG,Opp_FGA,Opp_FG%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Total,Spread
2015,BRK,37,2015-01-10,0,DET,L,93,98,37,88,0.42,9,31,0.29,10,10,1.0,9,46,25,6,2,14,23,34,80,0.425,11,33,0.333,19,26,0.731,9,44,27,8,3,11,10,191,-5
2015,BRK,38,2015-01-12,1,HOU,L,99,113,39,84,0.464,5,21,0.238,16,18,0.889,11,41,18,7,4,16,18,41,86,0.477,16,40,0.4,15,20,0.75,12,42,22,9,2,14,18,212,-14
2015,BRK,39,2015-01-14,1,MEM,L,92,103,36,75,0.48,10,26,0.385,10,12,0.833,6,36,19,5,1,19,25,39,83,0.47,3,17,0.176,22,29,0.759,14,41,18,13,3,9,19,195,-11
2015,BRK,40,2015-01-16,0,WAS,W,102,80,37,81,0.457,4,12,0.333,24,31,0.774,8,39,18,12,4,10,19,31,73,0.425,4,17,0.235,14,16,0.875,8,37,23,6,5,19,26,182,22
2015,BRK,41,2015-01-17,1,WAS,L,90,99,36,82,0.439,4,17,0.235,14,18,0.778,11,40,17,6,0,10,20,40,77,0.519,5,16,0.313,14,27,0.519,13,49,23,7,5,13,15,189,-9
2015,BRK,42,2015-01-21,0,SAC,W,103,100,37,79,0.468,5,20,0.25,24,30,0.8,10,43,22,7,6,15,24,39,84,0.464,5,18,0.278,17,24,0.708,10,42,22,5,2,14,19,203,3
2015,BRK,43,2015-01-22,0,LAC,L,84,123,33,88,0.375,4,21,0.19,14,25,0.56,15,40,17,11,3,13,14,49,83,0.59,11,25,0.44,14,21,0.667,9,48,41,8,9,14,17,207,-39
2015,BRK,44,2015-01-24,0,UTA,L,73,108,29,75,0.387,5,15,0.333,10,16,0.625,8,29,17,10,9,18,17,42,79,0.532,13,29,0.448,11,14,0.786,6,43,23,9,5,17,13,181,-35
2015,BRK,45,2015-01-28,0,ATL,L,102,113,39,87,0.448,9,24,0.375,15,18,0.833,9,35,26,6,5,10,20,38,82,0.463,12,33,0.364,25,26,0.962,12,45,29,4,4,13,18,215,-11
2015,BRK,46,2015-01-30,1,TOR,L,122,127,49,101,0.485,4,19,0.211,20,26,0.769,14,50,19,7,4,7,20,47,92,0.511,7,26,0.269,26,30,0.867,9,45,22,5,3,10,21,249,-5
